[00:00:00.620 - 00:00:12.300] 我们是心肺科105院病房
[00:15:10.159 - 00:15:11.559] 已经有活动性出血了
[00:15:11.559 - 00:15:12.960] 我们手术就不做了
[00:15:12.960 - 00:15:14.960] 可以减少风险
[00:15:14.960 - 00:15:15.879] 那么手术以后
[00:15:15.879 - 00:15:17.799] 大家也不要掉以轻轻
[00:15:17.799 - 00:15:19.639] 手术做回来以后
[00:15:19.639 - 00:15:22.090] 你病人要记住
[00:15:22.090 - 00:15:24.570] 你自己任何分秘密
[00:15:24.570 - 00:15:25.730] 比如说鼻涕啊
[00:15:25.730 - 00:15:26.250] 痰啊
[00:15:26.250 - 00:15:26.809] 口水啊
[00:15:26.809 - 00:15:28.009] 大小便啊
[00:15:28.009 - 00:15:29.649] 你都要养成习惯
[00:15:29.649 - 00:15:33.490] 先看颜色再扔掉
[00:15:33.490 - 00:15:34.769] 尤其是大小便
[00:15:34.769 - 00:15:37.370] 请大家回头看一眼颜色
[00:15:37.370 - 00:15:39.370] 确认没有发红发黑
[00:15:39.370 - 00:15:40.490] 再把它冲掉
[00:15:40.490 - 00:15:41.889] 这个可能关键时刻
[00:15:41.889 - 00:15:43.049] 会救你一命的
[00:15:43.049 - 00:15:44.250] 一定要记住
[00:15:44.250 - 00:15:46.210] 这是第三大类的风险
[00:15:46.210 - 00:15:48.169] 第四大类不是风险
[00:15:48.169 - 00:15:50.169] 但是是我们不愿意看到的
[00:15:50.169 - 00:15:53.289] 就是明天需要输通血管的病人
[00:15:53.289 - 00:15:55.570] 最后血管没有打通
[00:15:55.570 - 00:15:57.889] 这种情况常见于三种人
[00:15:57.889 - 00:15:58.929] 第一种
[00:15:58.970 - 00:16:01.409] 血管严重盖化的病人
[00:16:01.409 - 00:16:02.769] 什么叫盖化呢
[00:16:02.769 - 00:16:04.649] 别人的痘痘都是软软的肉
[00:16:04.649 - 00:16:05.889] 你的痘痘呢
[00:16:05.889 - 00:16:07.169] 像骨头一样硬
[00:16:07.169 - 00:16:08.370] 这就叫盖化
[00:16:08.370 - 00:16:09.529] 那么金属的支架
[00:16:09.529 - 00:16:11.409] 也把这个骨头顶去开
[00:16:11.409 - 00:16:12.730] 那支架就放不进去了
[00:16:12.730 - 00:16:14.970] 手术可能就做不成了
[00:16:14.970 - 00:16:17.250] 第二种呢叫完全闭塞病变
[00:16:17.250 - 00:16:19.769] 就是你的血管有一段
[00:16:19.769 - 00:16:21.929] 百分之百全部堵掉了
[00:16:21.929 - 00:16:23.490] 在造影上已经看不到
[00:16:23.490 - 00:16:25.250] 你这根血管去哪了
[00:16:25.250 - 00:16:26.570] 那有可能这根血管
[00:16:26.570 - 00:16:28.090] 永远也找不过来
[00:16:28.090 - 00:16:29.610] 这是有可能的
[00:16:29.610 - 00:16:30.690] 第三种情况呢
[00:16:30.690 - 00:16:32.370] 我们叫分叉病变
[00:16:32.370 - 00:16:33.929] 就是你的这个痘痘
[00:16:33.929 - 00:16:37.690] 长在了好血管和坏血管交叉的地方
[00:16:37.690 - 00:16:39.009] 我痘痘一挤破呢
[00:16:39.009 - 00:16:40.929] 里面的脏东西和破垢
[00:16:40.929 - 00:16:42.570] 跑到了好血管去了
[00:16:42.570 - 00:16:44.490] 把好血管堵掉你心梗吧
[00:16:44.490 - 00:16:46.769] 可能得不偿失
[00:16:46.769 - 00:16:50.889] 以这三类病变为代表的复杂病变
[00:16:50.889 - 00:16:52.330] 在全世界
[00:16:52.330 - 00:16:54.009] 没有任何一个专家
[00:16:54.009 - 00:16:55.809] 能够百分之百全部做通
[00:16:55.809 - 00:16:56.809] 大家都知道
[00:16:56.850 - 00:16:59.330] 这是目前技术的局限性
[00:16:59.330 - 00:17:01.889] 如果你的专家尝试了好长时间
[00:17:01.889 - 00:17:04.130] 所有的技术和器械都尝试了
[00:17:04.130 - 00:17:05.130] 还做不通
[00:17:05.130 - 00:17:07.849] 那我们就不再会强行去做了
[00:17:07.849 - 00:17:08.890] 就会下台
[00:17:08.890 - 00:17:10.450] 建议你则继续搭桥
[00:17:10.450 - 00:17:11.450] 这个大家知道
[00:17:11.450 - 00:17:13.529] 这是第一次感染
[00:17:13.529 - 00:17:14.609] 最后一块呢
[00:17:14.609 - 00:17:16.970] 就是有的病人在手术当中
[00:17:16.970 - 00:17:19.730] 因为各种原因无法配合
[00:17:19.730 - 00:17:22.890] 最后导致我们手术被迫要终止
[00:17:22.890 - 00:17:25.710] 我们这个手术怎么配合呢
[00:17:25.750 - 00:17:28.910] 我们需要你不垫枕头
[00:17:28.910 - 00:17:31.190] 一动不动地平躺在那边
[00:17:31.190 - 00:17:32.190] 就这么配合
[00:17:32.190 - 00:17:33.589] 听着很简单
[00:17:33.589 - 00:17:35.750] 一般你要配合一到两个小时
[00:17:35.750 - 00:17:38.789] 我们大部分手术都能完成
[00:17:38.789 - 00:17:41.990] 但是我们在实践当中
[00:17:41.990 - 00:17:43.589] 经常会看到有的病人
[00:17:43.589 - 00:17:44.789] 比如说有的病人
[00:17:44.789 - 00:17:45.869] 老年痴呆了
[00:17:45.869 - 00:17:46.950] 躺在里面
[00:17:46.950 - 00:17:47.990] 他痴呆发了
[00:17:47.990 - 00:17:49.509] 他非要坐起来
[00:17:49.509 - 00:17:50.670] 还有的病人
[00:17:50.670 - 00:17:52.829] 心肺的功能不好
[00:17:52.829 - 00:17:54.589] 躺久了他气候不过来
[00:17:54.589 - 00:17:56.190] 他非要坐起来
[00:17:56.190 - 00:17:58.109] 还有的病人心肺挺好
[00:17:58.109 - 00:17:59.430] 但是腰不好
[00:17:59.430 - 00:18:01.230] 躺久了腰麻腿麻
[00:18:01.230 - 00:18:02.789] 他非要坐起来
[00:18:02.789 - 00:18:04.109] 在遇到这种情况
[00:18:04.109 - 00:18:06.750] 我们劝阻无效的情况下
[00:18:06.750 - 00:18:09.349] 我们只能终不结束手术
[00:18:10.750 - 00:18:13.549] 所以希望今天晚上熄灯以后
[00:18:13.549 - 00:18:15.190] 大家自己枕头拿掉
[00:18:15.190 - 00:18:16.390] 自己躺在床上
[00:18:16.390 - 00:18:17.349] 自己试试看
[00:18:17.349 - 00:18:18.750] 你究竟能躺多久
[00:18:18.750 - 00:18:21.269] 好对你明天的配合有的数
[00:18:21.269 - 00:18:22.829] 我们说决断这份手术
[00:18:22.829 - 00:18:24.109] 一到两个小时
[00:18:24.109 - 00:18:25.990] 但是复杂的手术
[00:18:25.990 - 00:18:28.150] 可能五六个小时也不见得下得来
[00:18:28.150 - 00:18:30.670] 大家需要知道
[00:18:30.670 - 00:18:31.950] 在手术台上
[00:18:31.950 - 00:18:33.230] 如果你想小便
[00:18:33.230 - 00:18:34.190] 这个没问题的
[00:18:34.190 - 00:18:35.750] 我们台上有隔尿垫的
[00:18:35.750 - 00:18:37.069] 有无菌隔尿垫
[00:18:37.069 - 00:18:38.509] 你直接小就是了
[00:18:38.509 - 00:18:39.710] 没关系的
[00:18:39.710 - 00:18:40.869] 这个大家知道
[00:18:40.869 - 00:18:43.910] 这是我要讲的重点的一些内容
[00:18:43.910 - 00:18:45.910] 那么第一张签字讲了这么多
[00:18:45.910 - 00:18:47.190] 总结一下
[00:18:47.190 - 00:18:49.549] 我们噪影和介入治疗
[00:18:49.549 - 00:18:53.069] 依然是目前整治冠心病最好的办法
[00:18:53.109 - 00:18:55.150] 就像我现在要去趟澳大利亚
[00:18:55.150 - 00:18:56.589] 我肯定会坐飞机去
[00:18:56.589 - 00:18:58.910] 我不会自己划船去澳大利亚
[00:18:58.910 - 00:19:00.990] 但是这个飞机飞起来
[00:19:00.990 - 00:19:04.309] 没有人会给你保证飞机不会掉下来
[00:19:04.309 - 00:19:06.630] 这个概率和风险是差不多的道理
[00:19:06.630 - 00:19:07.630] 大家听懂了
[00:19:07.630 - 00:19:09.150] 第一张签字
[00:19:09.150 - 00:19:11.029] 第二张签字讲什么呢
[00:19:11.029 - 00:19:15.240] 讲明天我们需要放支架的病人
[00:19:15.240 - 00:19:16.519] 如果你同意了
[00:19:16.519 - 00:19:18.160] 而且支架放成了
[00:19:18.160 - 00:19:19.200] 那你要知道
[00:19:19.200 - 00:19:21.759] 这个支架是再也拿不出来的
[00:19:21.799 - 00:19:24.240] 它会永远地长在你的血管里面
[00:19:24.240 - 00:19:26.200] 跟着你一辈子
[00:19:26.200 - 00:19:27.599] 这个植入物
[00:19:27.599 - 00:19:29.839] 它无论是什么材质做的
[00:19:29.839 - 00:19:31.200] 放进去以后
[00:19:31.200 - 00:19:33.160] 都不影响你坐CT
[00:19:33.160 - 00:19:35.079] 也不影响坐慈功证
[00:19:35.079 - 00:19:36.640] 也不影响坐飞机
[00:19:36.640 - 00:19:38.440] 这些统统不影响
[00:19:38.440 - 00:19:39.359] 但是大家知道
[00:19:39.359 - 00:19:41.799] 会跟着你一辈子拿不出来
[00:19:41.799 - 00:19:44.160] 那么这个支架能用多久呢
[00:19:44.160 - 00:19:46.920] 这个取决于各位保养的情况
[00:19:46.920 - 00:19:48.160] 保养得好的话
[00:19:48.160 - 00:19:49.759] 可以终生通畅的
[00:19:49.759 - 00:19:51.519] 如果保养得不好
[00:19:51.519 - 00:19:53.519] 有可能过一段时间又堵了
[00:19:53.519 - 00:19:54.680] 这是有可能的
[00:19:54.680 - 00:19:57.319] 就像大家家里新换一个下水道
[00:19:57.319 - 00:19:58.160] 换好了
[00:19:58.160 - 00:19:59.839] 你天天往里面倒火锅底料
[00:19:59.839 - 00:20:00.839] 那它肯定会堵的
[00:20:00.839 - 00:20:02.119] 对不对
[00:20:02.119 - 00:20:03.920] 什么叫保养得不好
[00:20:03.920 - 00:20:05.720] 我举两个比较常见的例子
[00:20:05.720 - 00:20:08.119] 第一个就是出院以后
[00:20:08.119 - 00:20:09.839] 不遵医主服药的
[00:20:09.839 - 00:20:11.039] 这是第一种
[00:20:11.039 - 00:20:11.839] 第二种呢
[00:20:11.839 - 00:20:14.960] 就是出院以后不肯戒烟的
[00:20:14.960 - 00:20:16.440] 这两种病人里面
[00:20:16.440 - 00:20:18.119] 十个里面会有两三个
[00:20:18.119 - 00:20:20.319] 过一段时间又回到我们急诊了
[00:20:20.359 - 00:20:21.400] 支架堵了心肝了
[00:20:21.400 - 00:20:22.279] 又回来了
[00:20:22.279 - 00:20:24.200] 所以希望大家保养工作
[00:20:24.200 - 00:20:25.680] 自己做做好
[00:20:25.680 - 00:20:29.319] 如果你明天病情不需要放支架
[00:20:29.319 - 00:20:31.640] 那么这张签字就自动失效了
[00:20:31.640 - 00:20:33.319] 不是说你前几天签了
[00:20:33.319 - 00:20:35.200] 我就一定要给你塞个支架进去
[00:20:35.200 - 00:20:36.240] 不是这样的
[00:20:36.240 - 00:20:38.160] 在我们中山医院的原则是
[00:20:38.160 - 00:20:40.319] 能不放支架就不放支架
[00:20:40.319 - 00:20:43.200] 这是大家就要知道的第二件事情
[00:20:43.200 - 00:20:44.559] 第三张签字是一个
[00:20:44.559 - 00:20:46.200] 医保政策的告知书
[00:20:46.200 - 00:20:48.839] 这张告知书讲的意思是
[00:20:48.880 - 00:20:50.319] 我们这个手术
[00:20:50.319 - 00:20:52.960] 目前在上海绝大部分
[00:20:52.960 - 00:20:55.079] 都是能够纳入医保的
[00:20:55.079 - 00:20:57.200] 对于一个上海医保的病人
[00:20:57.200 - 00:20:58.559] 你大概只需要自费
[00:20:58.559 - 00:21:00.440] 百分之二三十的费用
[00:21:00.440 - 00:21:02.920] 剩下的医保都能报销
[00:21:02.920 - 00:21:04.720] 那么我们中山医院
[00:21:04.720 - 00:21:07.160] 必须得首选
[00:21:07.160 - 00:21:09.880] 上海医保目录里面的器械
[00:21:09.880 - 00:21:10.920] 这个大家要听懂
[00:21:10.920 - 00:21:13.000] 上海的医院都是这样的
[00:21:13.000 - 00:21:14.799] 但是这个器械
[00:21:14.799 - 00:21:15.759] 到了你安徽
[00:21:15.759 - 00:21:16.920] 到了你江苏
[00:21:16.920 - 00:21:18.680] 是不是也报销的
[00:21:18.680 - 00:21:20.480] 这就不是上海说了算了
[00:21:20.480 - 00:21:23.680] 这是你们当地的医保局说了算的
[00:21:23.680 - 00:21:25.039] 这个道理很简单
[00:21:25.039 - 00:21:29.000] 谁给你出钱谁说了算
[00:21:29.000 - 00:21:30.359] 但是在我们这里
[00:21:30.359 - 00:21:33.279] 必须得首选上海医保的产品
[00:21:33.279 - 00:21:35.930] 这个是原则
[00:21:35.930 - 00:21:37.650] 极少数情况下
[00:21:37.650 - 00:21:38.809] 非常少见
[00:21:38.809 - 00:21:40.490] 你的病情需要用
[00:21:40.490 - 00:21:42.690] 上海不报销的东西
[00:21:42.690 - 00:21:44.690] 那么你的主刀医生或者主治医生
[00:21:44.690 - 00:21:46.529] 会专门跟你讲的
[00:21:46.529 - 00:21:47.410] 如果没讲的话
[00:21:47.410 - 00:21:50.329] 我们默认用的都是医保目录里面的东西
[00:21:50.329 - 00:21:51.730] 这种情况很少
[00:21:51.730 - 00:21:53.250] 我只举一个例子
[00:21:53.250 - 00:21:57.009] 如果明天你是从大腿上面做的手术
[00:21:57.009 - 00:21:58.009] 那么我前面讲了
[00:21:58.009 - 00:22:00.170] 大腿的血管不太好止血
[00:22:00.170 - 00:22:02.809] 我们就会用一个血管闭合器
[00:22:02.809 - 00:22:04.289] 来帮助你止血
[00:22:04.289 - 00:22:05.609] 那么这个血管闭合器
[00:22:05.609 - 00:22:07.890] 目前在上海还不能报销
[00:22:07.890 - 00:22:10.009] 你要自费两三千块钱
[00:22:10.009 - 00:22:11.410] 我只举这一个例子
[00:22:11.410 - 00:22:13.460] 希望大家知道
[00:22:13.460 - 00:22:16.140] 这是几张签字的内容
[00:22:16.140 - 00:22:17.059] 第四个问题呢
[00:22:17.059 - 00:22:17.819] 讲什么
[00:22:17.819 - 00:22:19.180] 就是一些注意事项
[00:22:19.180 - 00:22:20.619] 大家仔细听一下
[00:22:20.619 - 00:22:21.740] 第一个
[00:22:21.740 - 00:22:23.980] 今天晚上八点钟
[00:22:23.980 - 00:22:27.099] 请大家到我们医生办公室门口的黑板上面
[00:22:27.099 - 00:22:29.579] 看一下各位的手术顺序
[00:22:29.579 - 00:22:33.579] 这个手术顺序是你的主刀医生来排的
[00:22:33.579 - 00:22:35.740] 病房只负责张贴
[00:22:35.740 - 00:22:37.539] 上面的序号对应了
[00:22:37.539 - 00:22:41.900] 你在你主刀医生的手术间的第几个手术
[00:22:41.900 - 00:22:42.619] 听懂
[00:22:42.619 - 00:22:45.019] 我们明天有十一个手术室一起做
[00:22:45.019 - 00:22:46.420] 所以你不要跟别人比
[00:22:46.420 - 00:22:47.180] 没有意义
[00:22:48.019 - 00:22:49.700] 你的主刀医生的房间来看
[00:22:49.700 - 00:22:51.180] 你是第几个
[00:22:51.180 - 00:22:53.220] 如果你排到了第一个
[00:22:53.220 - 00:22:54.539] 请你的家属
[00:22:54.539 - 00:22:58.380] 明天上午七点半以前
[00:22:58.380 - 00:23:00.819] 就要到病房里面来等着
[00:23:00.819 - 00:23:02.460] 我们七点半如果来接你
[00:23:02.460 - 00:23:04.700] 你的家属还在地下车库找车会
[00:23:04.700 - 00:23:06.099] 我们是不会去等你的
[00:23:06.099 - 00:23:09.880] 我们就去接第二个病人了
[00:23:09.880 - 00:23:12.000] 当病人躺在手术台上
[00:23:12.000 - 00:23:13.319] 确认可以开刀了
[00:23:13.319 - 00:23:16.519] 那么我们师傅会回来接第二个病人
[00:23:16.559 - 00:23:19.200] 所以第二个病人往往也接得比较早
[00:23:19.200 - 00:23:21.319] 八点钟左右可能就来接了
[00:23:21.319 - 00:23:26.119] 所以请前两位家属务必要早一点到病房
[00:23:26.119 - 00:23:27.039] 看不到家属
[00:23:27.039 - 00:23:29.160] 我们是不允许接手术的
[00:23:29.160 - 00:23:31.309] 这个要知道
[00:23:31.309 - 00:23:33.630] 从第三个开始
[00:23:33.630 - 00:23:36.230] 就没有人知道几点钟轮到你了
[00:23:36.230 - 00:23:38.309] 因为手术这个东西不是开火车
[00:23:38.309 - 00:23:40.549] 没有人能定时定点
[00:23:40.549 - 00:23:42.869] 快的话半个小时就结束了
[00:23:42.869 - 00:23:45.589] 慢的话五六个小时也不一定下得来
[00:23:45.630 - 00:23:47.430] 所以没有人知道
[00:23:47.430 - 00:23:50.269] 第三台第四台第五台几点钟开始
[00:23:50.269 - 00:23:52.430] 所以希望你的家属早一点到
[00:23:52.430 - 00:23:55.069] 赶早不赶晚
[00:23:55.069 - 00:23:56.470] 晚上为了方便大家
[00:23:56.470 - 00:23:58.349] 我们贴出来的单子上面
[00:23:58.349 - 00:24:00.990] 会有一个大致来源的时间
[00:24:00.990 - 00:24:02.789] 但是那个时间非常模糊
[00:24:02.789 - 00:24:05.750] 不做任何的保证
[00:24:05.750 - 00:24:09.869] 希望大家能够赶早不赶晚
[00:24:09.869 - 00:24:11.869] 我们这里工作量比较大
[00:24:11.869 - 00:24:15.309] 每个手术室每天排20个以上的病人
[00:24:15.309 - 00:24:17.710] 几乎都要做到半夜才能结束
[00:24:17.710 - 00:24:18.829] 最晚的时候
[00:24:18.829 - 00:24:21.630] 我们做到第二天早上五点半
[00:24:21.630 - 00:24:23.430] 不做完医生是不能下班的
[00:24:23.430 - 00:24:25.710] 所以希望大家耐心的等待就是了
[00:24:25.710 - 00:24:27.069] 轮到你会有人
[00:24:27.069 - 00:24:29.190] 护士提前来通知你换衣服的
[00:24:29.190 - 00:24:31.430] 这个大家知道
[00:24:31.430 - 00:24:33.349] 手术顺序我要多讲一下
[00:24:33.349 - 00:24:35.990] 这个是手术医生自己排的
[00:24:35.990 - 00:24:38.990] 明天具体先做谁后做谁
[00:24:38.990 - 00:24:41.430] 也是手术医生一个人说了算的
[00:24:41.430 - 00:24:43.910] 他想先给谁做就先来接谁
[00:24:44.430 - 00:24:47.309] 请你耐心的等待
[00:24:47.309 - 00:24:48.390] 第二个问题就来了
[00:24:48.390 - 00:24:49.829] 能不能吃饭
[00:24:49.829 - 00:24:52.150] 我们这个手术不用功夫
[00:24:52.150 - 00:24:53.670] 大家正常的吃饭
[00:24:53.670 - 00:24:54.869] 正常的喝水
[00:24:54.869 - 00:24:56.069] 正常的睡觉
[00:24:56.069 - 00:24:59.259] 保持一个充沛的体力来等待手术
[00:24:59.259 - 00:25:01.819] 第三个大家比较关心
[00:25:01.819 - 00:25:03.460] 如果我明天需要放支架了
[00:25:03.460 - 00:25:06.559] 那么这个支架是怎么选择的
[00:25:06.559 - 00:25:09.319] 我们说绝大部分病人目前采用的
[00:25:09.319 - 00:25:13.920] 还是传统的药物涂层金属支架
[00:25:13.960 - 00:25:15.799] 这种支架有进口的
[00:25:15.799 - 00:25:17.079] 也有国产的
[00:25:17.079 - 00:25:19.559] 我们国家目前采用的政策是
[00:25:19.559 - 00:25:22.599] 医保集中统一采购
[00:25:22.599 - 00:25:24.759] 带来的好处就是支架降价了
[00:25:24.759 - 00:25:25.640] 很便宜
[00:25:25.640 - 00:25:27.079] 无论进口还是国产
[00:25:27.079 - 00:25:29.920] 一根支架只要七八百块钱
[00:25:29.920 - 00:25:32.680] 但是这个支架是国家一开年
[00:25:32.680 - 00:25:36.160] 就帮各位已经采购好的
[00:25:36.160 - 00:25:38.400] 明天你的血管尺寸量出来
[00:25:38.400 - 00:25:40.319] 粗细长短是多少
[00:25:40.319 - 00:25:42.039] 对上了哪个厂家的支架
[00:25:42.039 - 00:25:43.839] 就放哪个厂家的支架
[00:25:44.079 - 00:25:45.400] 你本人和医生
[00:25:45.400 - 00:25:48.640] 没有办法主观来选择进口还是国产
[00:25:48.640 - 00:25:51.440] 一切都看尺寸
[00:25:51.930 - 00:25:53.569] 还有一部分病人
[00:25:53.569 - 00:25:54.490] 少部分病人
[00:25:54.490 - 00:25:57.880] 尤其是比较年轻的病人
[00:25:57.880 - 00:25:59.519] 可能会适合一种叫
[00:25:59.519 - 00:26:02.319] 完全可降解塑料支架
[00:26:02.319 - 00:26:04.680] 这种支架有点像塑料
[00:26:04.680 - 00:26:07.200] 它三到四年就融化掉了
[00:26:07.200 - 00:26:09.480] 它适合一少部分病人
[00:26:09.480 - 00:26:11.079] 如果你正好适合
[00:26:11.079 - 00:26:13.359] 你的主刀医生会专门跟你讲的
[00:26:13.400 - 00:26:15.079] 问你愿不愿意放
[00:26:15.079 - 00:26:17.000] 因为这种可降解支架
[00:26:17.000 - 00:26:18.279] 它有它的好处
[00:26:18.279 - 00:26:21.000] 但是它的费用复查
[00:26:21.000 - 00:26:22.279] 这个有点不一样
[00:26:22.279 - 00:26:24.480] 所以医生会专门跟你沟通
[00:26:24.480 - 00:26:25.599] 如果没讲
[00:26:25.599 - 00:26:27.720] 默认你放的是传统的
[00:26:27.720 - 00:26:29.319] 药物负参金主支架
[00:26:29.319 - 00:26:32.359] 也是支架怎么选择的问题
[00:26:32.359 - 00:26:33.599] 那么第四块
[00:26:33.599 - 00:26:36.759] 是要给大家布置两个家庭作业
[00:26:36.759 - 00:26:38.359] 需要大家今天晚上
[00:26:38.359 - 00:26:40.119] 和你的家属去商量的
[00:26:40.119 - 00:26:41.880] 要做好一具案
[00:26:41.880 - 00:26:42.839] 一开头我讲了
[00:26:42.839 - 00:26:44.920] 我们高考成绩四个档次
[00:26:44.920 - 00:26:47.319] 但是有两种病人
[00:26:47.319 - 00:26:49.640] 会正好卡在分数线上面
[00:26:49.640 - 00:26:51.119] 这是一样的道理
[00:26:51.119 - 00:26:55.960] 第一种病人会正好卡一个一本线
[00:26:55.960 - 00:27:01.190] 这个时候表示你刚刚到达放支架的标准
[00:27:01.190 - 00:27:02.069] 对于这种病变
[00:27:02.069 - 00:27:04.670] 我们做了这么几十年下来发现
[00:27:04.670 - 00:27:08.950] 放不放支架效果是差不多的
[00:27:08.950 - 00:27:11.869] 这个时候医生就会跟你说句话
[00:27:11.910 - 00:27:14.420] 你是民界病变
[00:27:14.420 - 00:27:16.539] 支架可放可不放
[00:27:16.539 - 00:27:18.299] 让你自己来选择
[00:27:18.299 - 00:27:19.940] 这个时候你的家属
[00:27:19.940 - 00:27:21.220] 就大胆的帮你选
[00:27:21.220 - 00:27:22.859] 选哪一种都可以
[00:27:22.859 - 00:27:24.700] 这是第一种情况
[00:27:24.700 - 00:27:26.059] 第二种情况是什么呢
[00:27:26.059 - 00:27:27.420] 考了个二本线
[00:27:27.420 - 00:27:29.740] 二本线大家回忆一下什么意思
[00:27:29.740 - 00:27:31.660] 你已经到了要开胸
[00:27:31.660 - 00:27:33.299] 开大刀的地步了
[00:27:33.299 - 00:27:34.819] 已经到这个地步了
[00:27:34.819 - 00:27:37.700] 但是随着我们内科技术的进步
[00:27:37.700 - 00:27:39.299] 基本上做微创
[00:27:39.339 - 00:27:43.819] 已经大概可以能够达到开胸治疗的效果
[00:27:43.819 - 00:27:46.859] 但是风险不比开胸小
[00:27:46.859 - 00:27:48.259] 这个大家听懂
[00:27:48.259 - 00:27:50.380] 所以对于二本线的病人来说
[00:27:50.380 - 00:27:51.539] 毛病很重
[00:27:51.539 - 00:27:55.339] 但是你无论做微创还是开大刀
[00:27:55.339 - 00:27:57.220] 风险都很大
[00:27:57.220 - 00:27:58.660] 手术做成了以后
[00:27:58.660 - 00:28:00.380] 效果也是一样的
[00:28:00.380 - 00:28:01.420] 这时候听懂了
[00:28:01.420 - 00:28:04.619] 这时候医生就没有办法帮你选择了
[00:28:04.619 - 00:28:08.099] 需要你的家属帮你做一个抉择
[00:28:08.140 - 00:28:09.420] 根据我们的经验
[00:28:09.420 - 00:28:11.779] 这种二本线往往大家会比较纠结
[00:28:11.779 - 00:28:14.460] 所以我们家庭作业今天布置好
[00:28:14.460 - 00:28:17.380] 你今天晚上就要和你的家属
[00:28:17.380 - 00:28:19.500] 商量好这种可能性
[00:28:19.500 - 00:28:21.940] 我们希望大家不要盲目自信
[00:28:21.940 - 00:28:23.619] 不要抱有侥幸的心理
[00:28:23.619 - 00:28:25.019] 这种情况在中山医院
[00:28:25.019 - 00:28:28.980] 每天都有超过20个病人
[00:28:28.980 - 00:28:32.380] 所以希望大家能够今天晚上做好预案
[00:28:32.380 - 00:28:34.740] 万一做出来已经到了
[00:28:34.740 - 00:28:36.940] 刚刚要搭桥的这种标准了
[00:28:36.940 - 00:28:38.180] 医生让你选
[00:28:38.180 - 00:28:41.259] 那你家属当场要能够选得出来
[00:28:41.259 - 00:28:42.700] 手术医生穿的手术服
[00:28:42.700 - 00:28:44.619] 没有我这么多时间跟大家讲
[00:28:44.619 - 00:28:47.220] 只给你一分钟左右的时间来选择
[00:28:47.220 - 00:28:50.099] 我们碰到过有些病人自己很自信
[00:28:50.099 - 00:28:51.420] 家属也不知道
[00:28:51.420 - 00:28:53.740] 结果就被他撞到了这种情况
[00:28:53.740 - 00:28:54.819] 当场他就闷了
[00:28:54.819 - 00:28:55.740] 选不出来
[00:28:55.740 - 00:28:58.579] 选不出来我们后面那么多病人还在等着
[00:28:58.579 - 00:29:00.339] 你手上的管子还在冒血
[00:29:00.339 - 00:29:01.579] 这个等不起了
[00:29:01.579 - 00:29:03.059] 我们手术就结束了
[00:29:03.059 - 00:29:04.500] 送你回来
[00:29:04.500 - 00:29:06.539] 回来以后又有人后悔了
[00:29:06.579 - 00:29:09.299] 说医生我想尝试能不能放支架
[00:29:09.299 - 00:29:10.059] 对不起
[00:29:10.059 - 00:29:14.740] 我们当天凭着手术不能二进宫
[00:29:14.740 - 00:29:16.299] 需要你先出院
[00:29:16.299 - 00:29:18.940] 过一个月以后再收进来再做
[00:29:18.940 - 00:29:21.420] 而且不保证能做成功
[00:29:21.420 - 00:29:24.619] 这个就耽误了你自己的金钱和时间
[00:29:24.619 - 00:29:28.740] 所以希望大家千万不要抱有侥幸心理
[00:29:28.740 - 00:29:31.819] 今天晚上跟你最亲近的人
[00:29:31.819 - 00:29:34.900] 尤其是明天来的那个人要商量好
[00:29:34.940 - 00:29:36.700] 如果碰到了这种情况
[00:29:36.700 - 00:29:38.420] 你选择哪一种
[00:29:38.420 - 00:29:39.700] 无论你选哪一种
[00:29:39.700 - 00:29:41.660] 医生都会尽力给你做的
[00:29:41.660 - 00:29:42.740] 这个大家可以放心
[00:29:42.740 - 00:29:46.220] 我们中山院的心内科心外科都很强大
[00:29:46.220 - 00:29:47.940] 但是你不选
[00:29:47.940 - 00:29:49.460] 医生就帮不了你了
[00:29:49.460 - 00:29:50.940] 这是要跟大家讲的
[00:29:50.940 - 00:29:53.299] 那么我们大家家属就可以回去了
[00:29:53.299 - 00:29:54.500] 病人先吃饭
[00:29:54.500 - 00:29:57.180] 晚上8点记得到医生门口看手术顺序
[00:29:57.180 - 00:29:57.500] 好吧
